candidate_index,article,candidate_id,title,provision,obligation,actor,applicability,machine_constraint,evidence_expected,source_quote,matched_requirement_id,relevance,obligation_correct,applicability_correct,machine_constraint_correct,provenance_correct,notes,reviewer
53,14,LLM-R14-08,Safe‑stop capability for human intervention,Article 14(4)(e),Oversight persons must be able to intervene in the operation of the high‑risk AI system or interrupt it through a ‘stop’ button or similar procedure that brings the system to a safe state.,Deployer / Assigned natural persons,All high‑risk AI systems,"The system must incorporate a reliable, readily accessible stop or pause function that transitions the system to a safe state upon activation.","[""Technical description of the stop mechanism"", ""Testing reports demonstrating safe‑state transition""]",to intervene in the operation of the high-risk AI system or interrupt the system through a ‘stop’ button or a similar procedure that allows the system to come to a halt in a safe state,,,,,,,,
54,14,LLM-R14-09,Dual‑person verification for Annex III(1)(a) systems,Article 14(5),"For high‑risk AI systems referred to in point 1(a) of Annex III, no action or decision may be taken by the deployer on the basis of the system’s identification unless that identification has been separately verified and confirmed by at least two natural persons with the necessary competence, training and authority.",Deployer (with two qualified natural persons),"High‑risk AI systems listed in Annex III point 1(a), except when used for law enforcement, migration, border control or asylum where Union or national law deems the requirement disproportionate.","The system must support a verification workflow that records confirmation by two distinct, qualified persons before any decision based on the system’s output is executed.","[""Audit logs showing signatures or IDs of two confirming persons"", ""Workflow configuration enforcing dual‑person approval""]","no action or decision is taken by the deployer on the basis of the identification resulting from the system unless that identification has been separately verified and confirmed by at least two natural persons with the necessary competence, training and authority. The requirement for a separate verification by at least two natural persons shall not apply to high-risk AI systems used for the purposes of law enforcement, migration, border control or asylum, where Union or national law considers the application of this requirement to be disproportionate.",,,,,,,,
55,15,LLM-R15-01,"Design for appropriate accuracy, robustness and cybersecurity throughout lifecycle",Article 15(1),"Design and develop high‑risk AI systems so that they achieve an appropriate level of accuracy, robustness and cybersecurity and maintain consistent performance in those respects throughout their lifecycle.",Providers / developers of high‑risk AI systems,All high‑risk AI systems,"System shall meet defined thresholds for accuracy, robustness and cybersecurity and shall not degrade below those thresholds over the entire operational lifecycle.","[""Design specification showing target accuracy, robustness and cybersecurity levels"", ""Verification and validation test reports confirming thresholds are met"", ""Lifecycle monitoring data demonstrating sustained performance""]","High-risk AI systems shall be designed and developed in such a way that they achieve an appropriate level of accuracy, robustness, and cybersecurity, and that they perform consistently in those respects throughout their lifecycle.",,,,,,,,
56,15,LLM-R15-02,Commission to foster benchmarks and measurement methodologies,Article 15(2),"Encourage, as appropriate, the development of benchmarks and measurement methodologies for assessing accuracy and robustness of high‑risk AI systems.",European Commission (in cooperation with relevant stakeholders and organisations such as metrology and benchmarking authorities),Technical aspects of measuring appropriate levels of accuracy and robustness for high‑risk AI systems,Commission shall initiate or support activities leading to the creation of standardized benchmarks and measurement methods.,"[""Records of commissioned projects or funding calls for benchmark development"", ""Published guidelines or standards resulting from the cooperation""]","To address the technical aspects of how to measure the appropriate levels of accuracy and robustness set out in paragraph 1 and any other relevant performance metrics, the Commission shall, in cooperation with relevant stakeholders and organisations such as metrology and benchmarking authorities, encourage, as appropriate, the development of benchmarks and measurement methodologies.",,,,,,,,
57,15,LLM-R15-03,Declaration of accuracy levels and metrics in user instructions,Article 15(3),Declare the levels of accuracy and the relevant accuracy metrics of high‑risk AI systems in the accompanying instructions of use.,Providers / manufacturers of high‑risk AI systems,All high‑risk AI systems,User documentation must contain explicit numeric accuracy values and the metrics used to obtain them.,"[""Copy of the instructions of use showing accuracy levels and metrics"", ""Change‑log documenting updates to declared values""]",The levels of accuracy and the relevant accuracy metrics of high-risk AI systems shall be declared in the accompanying instructions of use.,,,,,,,,
58,15,LLM-R15-04,Implement technical and organisational resilience measures,Article 15(4) – first sentence,"Take technical and organisational measures to make high‑risk AI systems as resilient as possible to errors, faults or inconsistencies arising within the system or its operating environment, especially when interacting with natural persons or other systems.",Providers / operators of high‑risk AI systems,All high‑risk AI systems,"System must incorporate fault‑tolerance, error‑handling and environmental‑robustness controls proportionate to identified risks.","[""Risk assessment identifying error/fault scenarios"", ""Design artefacts describing resilience mechanisms"", ""Test reports demonstrating system behaviour under simulated fault conditions""]","High-risk AI systems shall be as resilient as possible regarding errors, faults or inconsistencies that may occur within the system or the environment in which the system operates, in particular due to their interaction with natural persons or other systems. Technical and organisational measures shall be taken in this regard.",,,,,,,,
59,15,LLM-R15-05,Mitigate biased feedback loops in continuously learning systems,Article 15(4) – latter sentence,Develop continuously learning high‑risk AI systems so as to eliminate or reduce as far as possible the risk of biased outputs influencing future inputs (feedback loops) and address any such loops with appropriate mitigation measures.,Providers of high‑risk AI systems that continue to learn after market placement,High‑risk AI systems that continue to learn post‑deployment,"Implement monitoring and control mechanisms that detect and limit bias propagation from system outputs back into training data, and apply predefined mitigation actions.","[""Documentation of feedback‑loop mitigation architecture"", ""Monitoring logs showing detection of biased outputs"", ""Records of corrective actions applied to the learning pipeline""]","High-risk AI systems that continue to learn after being placed on the market or put into service shall be developed in such a way as to eliminate or reduce as far as possible the risk of possibly biased outputs influencing input for future operations (feedback loops), and as to ensure that any such feedback loops are duly addressed with appropriate mitigation measures.",,,,,,,,
60,15,LLM-R15-06,Resilience against unauthorised alteration,Article 15(5) – first sentence,"Ensure high‑risk AI systems are resilient against attempts by unauthorised third parties to alter their use, outputs or performance by exploiting system vulnerabilities.",Providers / operators of high‑risk AI systems,All high‑risk AI systems,"Deploy security controls (e.g., integrity checks, access controls, tamper‑evidence mechanisms) that prevent or detect unauthorised modifications.","[""Security architecture description"", ""Penetration‑testing or vulnerability‑assessment reports"", ""Logs of integrity‑verification events""]","High-risk AI systems shall be resilient against attempts by unauthorised third parties to alter their use, outputs or performance by exploiting system vulnerabilities.",,,,,,,,
61,15,LLM-R15-07,Proportionate cybersecurity solutions,Article 15(5) – second sentence,Select technical solutions ensuring the cybersecurity of high‑risk AI systems that are appropriate to the relevant circumstances and the risks.,Providers of high‑risk AI systems,All high‑risk AI systems,Conduct a risk assessment and implement cybersecurity measures whose strength is commensurate with identified risk levels.,"[""Risk assessment report linking identified threats to chosen security controls"", ""Documentation of implemented cybersecurity measures""]",The technical solutions aiming to ensure the cybersecurity of high-risk AI systems shall be appropriate to the relevant circumstances and the risks.,,,,,,,,
62,15,LLM-R15-08,Countermeasures for AI‑specific vulnerabilities,Article 15(5) – third sentence,"Include, where appropriate, technical measures to prevent, detect, respond to, resolve and control attacks such as data poisoning, model poisoning, adversarial examples/model evasion, confidentiality attacks and other model flaws.",Providers of high‑risk AI systems,All high‑risk AI systems,"System shall incorporate detection and mitigation controls for each listed AI‑specific attack vector, proportionate to risk assessment outcomes.","[""Security control specifications covering data‑poisoning, model‑poisoning, adversarial‑example detection, confidentiality safeguards, etc."", ""Test results demonstrating effectiveness against simulated attacks"", ""Incident‑response procedures for identified AI‑specific threats""]","The technical solutions to address AI specific vulnerabilities shall include, where appropriate, measures to prevent, detect, respond to, resolve and control for attacks trying to manipulate the training data set (data poisoning), or pre-trained components used in training (model poisoning), inputs designed to cause the AI model to make a mistake (adversarial examples or model evasion), confidentiality attacks or model flaws.",,,,,,,,
63,50,LLM-R50-01,User notification for AI‑mediated interaction,Article 50(1),"Providers shall ensure that AI systems intended to interact directly with natural persons are designed and developed in such a way that the natural persons concerned are informed that they are interacting with an AI system, unless this is obvious …",Provider,"All AI systems that directly interact with natural persons, except where the AI‑generated nature is obvious to a reasonably well‑informed, observant and circumspect person, and except for AI systems authorised by law to detect, prevent, investigate or prosecute criminal offences (unless publicly available for reporting offences).","The system must be capable of emitting a user‑facing notice (e.g., visual banner, spoken statement, or other modality) that explicitly states the interaction is with an AI system. The notice must be configurable to be suppressed only when a policy flag ‘obvious‑to‑user’ is set true, and must be omitted for law‑enforcement‑authorised systems.","[""UI screenshot or video showing the AI interaction notice"", ""Configuration file or flag indicating the ‘obvious‑to‑user’ condition"", ""Documentation of exemption handling for law‑enforcement authorisation""]","Providers shall ensure that AI systems intended to interact directly with natural persons are designed and developed in such a way that the natural persons concerned are informed that they are interacting with an AI system, unless this is obvious from the point of view of a natural person who is reasonably well-informed, observant and circumspect, taking into account the circumstances and the context of use. This obligation shall not apply to AI systems authorised by law to detect, prevent, investigate or prosecute criminal offences, subject to appropriate safeguards for the rights and freedoms of third parties, unless those systems are available for the public to report a criminal offence.",,,,,,,,
64,50,LLM-R50-02,Machine‑readable marking of synthetic content,Article 50(2),"Providers of AI systems … generating synthetic audio, image, video or text content, shall ensure that the outputs of the AI system are marked in a machine‑readable format and detectable as artificially generated or manipulated. Providers shall ensure their technical solutions are effective, interoperable, robust and reliable …",Provider,"All AI systems that generate synthetic audio, image, video or text, except when the system performs an assistive function for standard editing, does not substantially alter the input data/semantics, or is authorised by law for criminal‑offence detection, prevention, investigation or prosecution.","Every generated artefact must carry a standardized metadata field (e.g., ‘synthetic‑flag: true’, conforming to a recognised technical standard) that can be programmatically read. The metadata must be embedded in the file format (EXIF, ID3, etc.) or attached as a separate machine‑readable manifest. The implementation must pass interoperability tests against at least two reference tools and meet defined reliability thresholds (e.g., >99% detection rate in test corpus).","[""Sample generated files with the required metadata visible in a technical inspector"", ""Interop test report showing successful detection by third‑party tools"", ""Compliance report referencing the technical standard(s) used""]","Providers of AI systems, including general-purpose AI systems, generating synthetic audio, image, video or text content, shall ensure that the outputs of the AI system are marked in a machine-readable format and detectable as artificially generated or manipulated. Providers shall ensure their technical solutions are effective, interoperable, robust and reliable as far as this is technically feasible, taking into account the specificities and limitations of various types of content, the costs of implementation and the generally acknowledged state of the art, as may be reflected in relevant technical standards. This obligation shall not apply to the extent the AI systems perform an assistive function for standard editing or do not substantially alter the input data provided by the deployer or the semantics thereof, or where authorised by law to detect, prevent, investigate or prosecute criminal offences.",,,,,,,,
65,50,LLM-R50-03,Transparency and data‑protection for emotion‑recognition and biometric categorisation,Article 50(3),"Deployers of an emotion recognition system or a biometric categorisation system shall inform the natural persons exposed thereto of the operation of the system, and shall process the personal data in accordance with Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680, as applicable.",Deployer,"All deployments of emotion‑recognition or biometric‑categorisation systems, except when the system is permitted by law to detect, prevent or investigate criminal offences and appropriate safeguards are in place.","The deployment environment must present a conspicuous notice (e.g., UI banner, audible alert) stating that emotion or biometric categorisation is occurring. Additionally, the system must log all personal‑data processing activities and expose them via an auditable API compliant with GDPR/ relevant EU data‑protection directives.","[""Capture of the user‑facing notice displayed at system startup or point of capture"", ""Exported processing log showing lawful basis, data categories, retention periods"", ""Data‑protection impact assessment (DPIA) reference confirming compliance with GDPR, etc.""]","Deployers of an emotion recognition system or a biometric categorisation system shall inform the natural persons exposed thereto of the operation of the system, and shall process the personal data in accordance with Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680, as applicable. This obligation shall not apply to AI systems used for biometric categorisation and emotion recognition, which are permitted by law to detect, prevent or investigate criminal offences, subject to appropriate safeguards for the rights and freedoms of third parties, and in accordance with Union law.",,,,,,,,
66,50,LLM-R50-04,Disclosure of AI‑generated deep‑fake visual/audio content,Article 50(4) – first paragraph,"Deployers of an AI system that generates or manipulates image, audio or video content constituting a deep fake, shall disclose that the content has been artificially generated or manipulated.",Deployer,"All deep‑fake image/audio/video generated or manipulated by AI, except where the use is authorised by law to detect, prevent, investigate or prosecute criminal offence, or where the content is part of an artistic, creative, satirical, fictional or analogous work – in which case only a limited disclosure of existence is required.","The system must embed a verifiable disclosure indicator (e.g., visible overlay watermark or metadata tag ‘deep‑fake:true’) that can be automatically extracted. For artistic exceptions, the indicator may be limited to a non‑intrusive metadata field stating existence without visual alteration.","[""Example deep‑fake file with visible watermark or metadata tag"", ""Policy document describing handling of artistic‑exception content"", ""Test script that extracts and confirms the disclosure flag""]","Deployers of an AI system that generates or manipulates image, audio or video content constituting a deep fake, shall disclose that the content has been artificially generated or manipulated. This obligation shall not apply where the use is authorised by law to detect, prevent, investigate or prosecute criminal offence. Where the content forms part of an evidently artistic, creative, satirical, fictional or analogous work or programme, the transparency obligations set out in this paragraph are limited to disclosure of the existence of such generated or manipulated content in an appropriate manner that does not hamper the display or enjoyment of the work.",,,,,,,,
67,50,LLM-R50-05,Disclosure of AI‑generated text of public‑interest,Article 50(4) – second paragraph,Deployers of an AI system that generates or manipulates text which is published with the purpose of informing the public on matters of public interest shall disclose that the text has been artificially generated or manipulated.,Deployer,"All AI‑generated or manipulated textual content published for public‑interest purposes, except where the use is authorised by law for criminal‑offence purposes, or where the content has undergone human review/editorial control and a natural or legal person holds editorial responsibility.","Before publication, the content management workflow must append a clear editorial note or metadata flag (e.g., ‘AI‑generated:true’) that is programmatically accessible and displayed to end‑users. The workflow must also record whether human editorial oversight was applied, disabling the AI‑disclosure flag when appropriate.","[""Published article excerpt showing the AI‑generation notice"", ""CMS audit log indicating the AI‑disclosure flag state and editorial review record"", ""Configuration showing the conditional disabling of the notice after editorial control""]","Deployers of an AI system that generates or manipulates text which is published with the purpose of informing the public on matters of public interest shall disclose that the text has been artificially generated or manipulated. This obligation shall not apply where the use is authorised by law to detect, prevent, investigate or prosecute criminal offences or where the AI-generated content has undergone a process of human review or editorial control and where a natural or legal person holds editorial responsibility for the publication of the content.",,,,,,,,
68,50,LLM-R50-06,Timing and accessibility of transparency information,Article 50(5),The information referred to in paragraphs 1 to 4 shall be provided to the natural persons concerned in a clear and distinguishable manner at the latest at the time of the first interaction or exposure. The information shall conform to the applicable accessibility requirements.,Provider or Deployer (whichever supplies the information),All situations covered by paragraphs 1‑4.,"The system must render the required notice before or at the moment of first user interaction, using UI components that meet the EU accessibility standards (e.g., WCAG 2.2 Level AA). The notice must be programmatically distinguishable (e.g., ARIA role=""alert"").","[""Screen‑reader test report confirming compliance with accessibility criteria"", ""Timestamped log showing notice displayed prior to first user action"", ""Design mock‑up of the clear and distinguishable notice""]",The information referred to in paragraphs 1 to 4 shall be provided to the natural persons concerned in a clear and distinguishable manner at the latest at the time of the first interaction or exposure. The information shall conform to the applicable accessibility requirements.,,,,,,,,
69,50,LLM-R50-07,Non‑prejudice of other transparency obligations,Article 50(6),"Paragraphs 1 to 4 shall not affect the requirements and obligations set out in Chapter III, and shall be without prejudice to other transparency obligations laid down in Union or national law for deployers of AI systems.",All providers and deployers,Universal – any provider or deployer subject to Article 50.,Compliance verification must cross‑check that implementations of Article 50 do not conflict with obligations in Chapter III or with any national transparency statutes; a compliance matrix mapping required notices to other legal duties is required.,"[""Compliance matrix linking Article 50 notices to Chapter III requirements"", ""Legal review document confirming no conflict with national transparency laws""]","Paragraphs 1 to 4 shall not affect the requirements and obligations set out in Chapter III, and shall be without prejudice to other transparency obligations laid down in Union or national law for deployers of AI systems.",,,,,,,,
70,50,LLM-R50-08,"Commission‑led codes of practice for detection, marking and labelling",Article 50(7),"The Commission shall encourage and facilitate the drawing up of codes of practice … The Commission … shall assess whether adherence to those codes of practice is adequate to ensure compliance with the obligations laid down in paragraphs 2 and 4 … If it deems the code of practice to be inadequate, the Commission may adopt an implementing act …",European Commission (with Board opinion),All providers and deployers subject to the marking and labelling obligations of paragraphs 2 and 4.,"Systems must be capable of demonstrating conformity with any Commission‑adopted code of practice (e.g., by supporting the required metadata schema version indicated in the code). A compliance interface shall expose the code‑of‑practice version identifier and a self‑assessment attestation.","[""Attestation document referencing the specific Commission code of practice version"", ""Technical artifact (e.g., metadata schema file) showing alignment with the code"", ""Record of Commission assessment outcome if available""]","The Commission shall encourage and facilitate the drawing up of codes of practice at Union level to facilitate the effective implementation of the obligations regarding the detection, marking and labelling of artificially generated or manipulated content. The Commission, taking utmost account of the opinion of the Board, shall assess whether adherence to those codes of practice is adequate to ensure compliance with the obligations laid down in paragraphs 2 and 4 of this Article, in accordance with the procedure laid down in Article 56(6). If it deems the code of practice to be inadequate, the Commission may adopt an implementing act specifying common rules for the implementation of those obligations in accordance with the examination procedure laid down in Article 98(2).",,,,,,,,
